Название вакансии,Название компании,Зарплата,Ссылка на вакансию
Программист 1С,ООО 1Синтез,от 120 000 ₽ на руки,https://tomsk.hh.ru/vacancy/106479724?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий инженер-программист,АО Конструкторское Бюро Промышленной Автоматики,от 129 000 ₽ на руки,https://tomsk.hh.ru/vacancy/106359552?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1C,ООО Софт Инжиниринг,до 180 000 ₽ до вычета налогов,https://tomsk.hh.ru/vacancy/102348129?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Middle Full Stack .NET разработчик,ООО Крео-софт,100 000 – 180 000 ₽ на руки,https://tomsk.hh.ru/vacancy/105693959?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист АСУ ТП,Латат,68 000 – 91 000 ₽ на руки,https://tomsk.hh.ru/vacancy/106600563?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,Национальный исследовательский Томский политехнический университет,150 000 – 150 000 ₽ на руки,https://tomsk.hh.ru/vacancy/97100558?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий 1С программист,Тимбермаш Байкал,Тимбермаш Байкал,https://tomsk.hh.ru/vacancy/106981324?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,ООО Томский инструментальный завод,до 200 000 ₽ на руки,https://tomsk.hh.ru/vacancy/99234664?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С в IT-компанию,ООО ИЦ КонсультантЪ,ООО ИЦ КонсультантЪ,https://tomsk.hh.ru/vacancy/93180931?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий программист группы программного обеспечения,Газпром газораспределение Томск,Газпром газораспределение Томск,https://tomsk.hh.ru/vacancy/107045358?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Frontend-разработчик (стажер),Neo Stack Technology,Neo Stack Technology,https://tomsk.hh.ru/vacancy/106432789?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист 1С,ОАО Томский Электротехнический Завод,ОАО Томский Электротехнический Завод,https://tomsk.hh.ru/vacancy/104203150?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик fullstack,АО ТЭК-Торг,АО ТЭК-Торг,https://tomsk.hh.ru/vacancy/106317734?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Стажер backend-разработчик,ООО Спутник,ООО Спутник,https://tomsk.hh.ru/vacancy/97606409?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер - программист 1С,АО НПЦ Полюс,АО НПЦ Полюс,https://tomsk.hh.ru/vacancy/100009828?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
